,battery,humidity,pressure,rf_counter,rf_total,temperature,direction,speed,f_cnt,rssi,snr,value,time
86,38,85,1008.3,0,4.28,11.3,141.5,1.1,94,-102,6.5,1,2025-03-27T18:33:54.424247658Z
87,38,84.5,1008.3,0,4.28,11.3,153.2,1.8,95,-101,-0.2,1,2025-03-27T18:38:54.415108228Z
88,38,84,1008.4,0,4.28,11.3,146.7,1.7,96,-107,0.2,1,2025-03-27T18:43:54.4158282Z
89,38,84.5,1008.4,0,4.28,11.3,114.7,1.2,97,-110,-1,1,2025-03-27T18:48:54.409807024Z
90,38,83.5,1008.5,0,4.28,11.4,147.5,1.9,98,-104,5,1,2025-03-27T18:53:54.400846665Z
91,38,81,1008.6,0,4.28,11.5,160.9,2,99,-106,4.5,1,2025-03-27T18:58:54.386459357Z
92,38,82,1008.7,0,4.28,11.5,159.8,2.1,100,-101,-0.8,1,2025-03-27T19:03:54.371740562Z
93,36,83.5,1008.7,0,4.28,11.5,145.1,1.7,101,-103,4.5,1,2025-03-27T19:08:54.433514636Z
94,36,83.5,1008.8,0,4.28,11.4,153.3,1.4,102,-102,6.8,1,2025-03-27T19:13:54.382248243Z
95,36,84,1008.8,0,4.28,11.4,148.1,2,103,-102,-1,1,2025-03-27T19:18:56.54852349Z
96,36,84,1008.8,0,4.28,11.3,157,1.4,104,-109,0.2,1,2025-03-27T19:23:54.355931227Z
97,36,84.5,1008.8,0,4.28,11.3,165,1.1,105,-108,0.2,1,2025-03-27T19:28:54.397747296Z
98,36,82,1008.9,0,4.28,11.4,179.9,2.1,106,-105,5,1,2025-03-27T19:33:54.360555786Z
99,36,81,1009.1,0,4.28,11.6,177.9,1.7,107,-106,4.2,1,2025-03-27T19:38:54.343335321Z
100,36,80.5,1009.2,0,4.28,11.7,182,1.9,108,-103,3.8,1,2025-03-27T19:43:54.344132575Z
101,36,80,1009.3,0,4.28,11.7,151.3,0.8,109,-104,4.8,1,2025-03-27T19:48:54.346573735Z
102,36,81,1009.3,0,4.28,11.6,186.1,1.9,110,-109,-1,1,2025-03-27T19:53:54.325893212Z
103,36,82,1009.2,0,4.28,11.6,202.9,1.8,111,-102,7,1,2025-03-27T19:58:54.326839319Z
104,36,80.5,1009.2,0,4.28,11.6,168.7,1.8,112,-108,1.8,1,2025-03-27T20:03:54.349671478Z
105,36,80.5,1009.2,0,4.28,11.6,187.5,1.1,113,-109,-0.8,1,2025-03-27T20:08:54.305686433Z
106,35,78,1009.2,0,4.28,11.7,129.2,0.7,114,-105,6.2,1,2025-03-27T20:13:54.305200751Z
107,35,79,1009.2,0,4.28,11.7,305.9,0.5,115,-106,5.5,1,2025-03-27T20:18:54.307209402Z
108,35,80.5,1009.1,0,4.28,11.6,114,0.3,116,-104,5.5,1,2025-03-27T20:23:54.272754317Z
109,35,80.5,1009.2,0,4.29,11.5,176.9,1.8,117,-103,4,1,2025-03-27T20:28:54.314308796Z
110,35,81,1009.1,0,4.29,11.4,138.3,0.5,118,-111,-3.8,1,2025-03-27T20:33:54.314986344Z
111,35,81,1009,0,4.29,11.3,83.2,0.5,119,-101,7.2,1,2025-03-27T20:38:54.265618732Z
112,35,80.5,1009.2,0,4.29,11.3,76,0.3,120,-105,5.5,1,2025-03-27T20:43:54.253444965Z
113,35,82,1009.1,0,4.29,11.2,325.8,0.6,121,-107,2.5,1,2025-03-27T20:48:54.259504876Z
114,35,82.5,1009.1,0,4.29,11.2,130.8,0.4,122,-106,4.8,1,2025-03-27T20:53:54.253348157Z
115,35,83.5,1009.2,0,4.29,11.1,135.1,0.3,123,-105,5.2,1,2025-03-27T20:58:54.238794538Z
116,35,84.5,1009.1,0,4.29,11.1,46.1,0.1,124,-101,0,1,2025-03-27T21:03:54.229179145Z
117,35,84,1009.2,0,4.29,11.1,104.2,0.7,125,-104,4,1,2025-03-27T21:08:54.22807132Z
118,34,83.5,1009.2,0,4.29,11.1,191.8,0.6,126,-112,-2.5,1,2025-03-27T21:13:54.238328448Z
119,34,84.5,1009.2,0,4.29,11.1,164.7,0.5,127,-102,6.2,1,2025-03-27T21:18:54.228236345Z
120,34,84.5,1009.3,0,4.29,11,157.8,0.6,128,-107,1.5,1,2025-03-27T21:23:54.20361454Z
