current_time,indexers_created,indexers_malign,indexers_banned,indexers_banned_malign,inferred_truth,avg_rep_benign,avg_rep_malign,mode,fail_counter,consolidated_result
2025-06-14 02:28:55.476823220+00:00,8,0,0,0,17.65130542907201,0.9563597329628281,0.0,zonia,0,False
2025-06-14 02:38:10.097981220+00:00,8,0,0,0,17.86941902364164,0.9541254819736457,0.0,zonia,0,False
2025-06-14 02:50:20.567906220+00:00,8,0,0,0,17.175149278713775,0.9626688830299647,0.0,zonia,0,False
2025-06-14 02:59:02.587616220+00:00,8,0,0,0,17.13921608724206,0.966170510916437,0.0,zonia,0,False
2025-06-14 03:01:53.886602220+00:00,8,0,0,0,17.581667360839965,0.9603154105850821,0.0,zonia,0,False
2025-06-14 03:46:05.672794220+00:00,8,0,0,0,16.874935822465755,0.9666950231327154,0.0,zonia,0,False
2025-06-14 03:57:36.323826220+00:00,8,0,0,0,17.017019075327074,0.9693215235853135,0.0,zonia,0,False
2025-06-14 04:06:45.835590220+00:00,8,0,0,0,16.845280990070666,0.9669351466680225,0.0,zonia,0,False
2025-06-14 04:14:18.375375220+00:00,8,0,0,0,17.35361944586912,0.9707618850396597,0.0,zonia,0,False
2025-06-14 04:25:09.506296220+00:00,8,0,0,0,18.213602852876726,0.9706286988130794,0.0,zonia,0,False
2025-06-14 04:30:52.623217220+00:00,8,0,0,0,17.997240666988176,0.9585769861472779,0.0,zonia,0,False
2025-06-14 05:01:42.235915220+00:00,8,0,0,0,19.932616320382,0.9428972814472156,0.0,zonia,0,False
2025-06-14 05:11:34.842300220+00:00,8,0,0,0,20.962212982143857,0.9404866597651499,0.0,zonia,0,False
2025-06-14 05:14:42.349226220+00:00,8,0,0,0,21.087053260456535,0.9444827366186388,0.0,zonia,0,False
2025-06-14 05:23:09.561258220+00:00,8,0,0,0,21.8749078451157,0.9488845068032988,0.0,zonia,0,False
2025-06-14 05:55:43.660421220+00:00,8,0,0,0,23.3484607096325,0.9226563750095753,0.0,zonia,0,False
2025-06-14 06:15:05.767663220+00:00,8,0,0,0,24.66578416907047,0.9337744896802475,0.0,zonia,0,False
2025-06-14 06:32:19.028681220+00:00,8,0,0,0,26.135842831298334,0.9410192295203219,0.0,zonia,0,False
2025-06-14 06:35:57.349228220+00:00,8,0,0,0,26.065893887191255,0.9436285408661359,0.0,zonia,0,False
2025-06-14 06:58:20.271255220+00:00,8,0,0,0,27.384143890609632,0.9369925081760704,0.0,zonia,0,False
2025-06-14 07:16:01.434766220+00:00,8,0,0,0,28.296181362047456,0.9332896900359635,0.0,zonia,0,False
2025-06-14 07:35:33.155920220+00:00,8,0,0,0,28.470131640253467,0.9391022946804597,0.0,zonia,0,False
2025-06-14 07:48:38.362077220+00:00,8,0,0,0,29.22005742171194,0.94448712455479,0.0,zonia,0,False
2025-06-14 08:05:10.867565220+00:00,8,0,0,0,29.68222191819117,0.9554701502667808,0.0,zonia,0,False
2025-06-14 08:16:50.789177220+00:00,8,0,0,0,30.351916324457886,0.9672187244134739,0.0,zonia,0,False
2025-06-14 08:21:41.515639220+00:00,8,0,0,0,30.457050790199258,0.9670377975336654,0.0,zonia,0,False
2025-06-14 08:36:15.833795220+00:00,8,0,0,0,30.734015908694758,0.9745482177848493,0.0,zonia,0,False
2025-06-14 08:43:13.005196220+00:00,8,0,0,0,31.053440510974816,0.9796688109901555,0.0,zonia,0,False
2025-06-14 08:46:23.782976220+00:00,8,0,0,0,31.08292850951711,0.9794427807045127,0.0,zonia,0,False
2025-06-14 08:58:10.109301220+00:00,8,0,0,0,31.291152673602824,0.9804713503847537,0.0,zonia,0,False
2025-06-14 09:00:51.177187220+00:00,8,0,0,0,31.59321870611088,0.9785093510044461,0.0,zonia,0,False
2025-06-14 09:36:47.650437220+00:00,8,0,0,0,32.19812848443837,0.9827915434198401,0.0,zonia,0,False
2025-06-14 09:56:30.326912220+00:00,8,0,0,0,32.894493960642066,0.9771355577595295,0.0,zonia,0,False
2025-06-14 10:00:21.717544220+00:00,8,0,0,0,32.942039357247126,0.9727564146398203,0.0,zonia,0,False
2025-06-14 10:04:56.720486220+00:00,8,0,0,0,32.77353492524574,0.9705036300689297,0.0,zonia,0,False
2025-06-14 10:06:37.681032220+00:00,8,0,0,0,33.08101577556667,0.9705681783981088,0.0,zonia,0,False
2025-06-14 10:13:27.676097220+00:00,8,0,0,0,33.26660870694782,0.968217620055688,0.0,zonia,0,False
2025-06-14 10:40:28.752291220+00:00,8,0,0,0,33.38871011045619,0.9619455426730217,0.0,zonia,0,False
2025-06-14 10:41:12.791389220+00:00,8,0,0,0,33.48441359470066,0.9603415113821426,0.0,zonia,0,False
2025-06-14 10:44:22.140028220+00:00,8,0,0,0,33.65890010829612,0.9656911294664421,0.0,zonia,0,False
2025-06-14 10:59:57.416508220+00:00,8,0,0,0,33.80519780438182,0.9487870831991655,0.0,zonia,0,False
2025-06-14 11:40:27.622567220+00:00,8,0,0,0,34.06941440593794,0.9508912265109783,0.0,zonia,0,False
2025-06-14 11:40:46.437222220+00:00,8,0,0,0,34.155621962386704,0.9542571521052858,0.0,zonia,0,False
2025-06-14 11:41:28.430608220+00:00,8,0,0,0,34.3693546876232,0.9592786689123683,0.0,zonia,0,False
2025-06-14 11:43:42.230434220+00:00,8,0,0,0,34.35112344535941,0.9612434035645238,0.0,zonia,0,False
2025-06-14 11:51:21.437343220+00:00,8,0,0,0,34.52305302443294,0.9646152838034456,0.0,zonia,0,False
2025-06-14 11:57:36.477540220+00:00,8,0,0,0,34.74768478898483,0.9680955068275274,0.0,zonia,0,False
2025-06-14 11:58:04.119883220+00:00,8,0,0,0,34.88306991335295,0.9721947336390713,0.0,zonia,0,False
2025-06-14 11:59:11.984426220+00:00,8,0,0,0,34.796240212720164,0.9734315220829383,0.0,zonia,0,False
2025-06-14 11:59:42.108268220+00:00,8,0,0,0,34.86945480074053,0.9760026520931405,0.0,zonia,0,False
2025-06-14 12:09:34.219758220+00:00,8,0,0,0,34.787715406482214,0.9632222039255718,0.0,zonia,0,False
2025-06-14 12:32:10.806749220+00:00,8,0,0,0,35.11092471389473,0.9642515410463846,0.0,zonia,0,False
2025-06-14 12:46:42.647478220+00:00,8,0,0,0,35.680604834842356,0.9621713006251263,0.0,zonia,0,False
2025-06-14 12:50:42.910867220+00:00,8,0,0,0,35.74466399443766,0.97219109597652,0.0,zonia,0,False
2025-06-14 13:02:26.105059220+00:00,8,0,0,0,35.33930628761036,0.9768448172122564,0.0,zonia,0,False
2025-06-14 13:41:26.567316220+00:00,8,0,0,0,36.13618413351722,0.9747413164178113,0.0,zonia,0,False
2025-06-14 13:45:58.253597220+00:00,8,0,0,0,36.104615796259864,0.9712951984909015,0.0,zonia,0,False
2025-06-14 13:52:17.720319220+00:00,8,0,0,0,36.093378156625526,0.9706175824941471,0.0,zonia,0,False
2025-06-14 14:11:38.524356220+00:00,8,0,0,0,36.13301109486777,0.9715944340713427,0.0,zonia,0,False
2025-06-14 14:32:29.228268220+00:00,8,0,0,0,36.12841217231695,0.9778139472277392,0.0,zonia,0,False
2025-06-14 15:04:50.427070220+00:00,8,0,0,0,36.06367280697376,0.9686716981667876,0.0,zonia,0,False
2025-06-14 15:09:06.846379220+00:00,8,0,0,0,36.482765312570336,0.9683417223112523,0.0,zonia,0,False
2025-06-14 15:12:19.939039220+00:00,8,0,0,0,36.07870921940782,0.9639359967538468,0.0,zonia,0,False
2025-06-14 15:17:09.852269220+00:00,8,0,0,0,36.31422848900222,0.9615932857479457,0.0,zonia,0,False
2025-06-14 16:15:03.550551220+00:00,8,0,0,0,34.9925190621445,0.9579801732707877,0.0,zonia,0,False
2025-06-14 16:46:58.254624220+00:00,8,0,0,0,32.502768153503496,0.9515652853383627,0.0,zonia,0,False
2025-06-14 16:49:41.866726220+00:00,8,0,0,0,32.24557065784254,0.9403785330215378,0.0,zonia,0,False
2025-06-14 16:51:09.716688220+00:00,8,0,0,0,32.449340139215394,0.940836661969614,0.0,zonia,0,False
2025-06-14 17:01:22.255608220+00:00,8,0,0,0,32.18038087372394,0.9380936207129672,0.0,zonia,0,False
2025-06-14 17:39:59.687715220+00:00,8,0,0,0,30.38876910510718,0.9536132905391421,0.0,zonia,0,False
2025-06-14 17:45:32.704615220+00:00,8,0,0,0,29.930533315858057,0.9584982487829243,0.0,zonia,0,False
2025-06-14 17:54:40.372401220+00:00,8,0,0,0,29.50854124670029,0.9593200190907099,0.0,zonia,0,False
2025-06-14 18:14:14.070382220+00:00,8,0,0,0,28.589591899801757,0.967627014211721,0.0,zonia,0,False
2025-06-14 18:31:30.036757220+00:00,8,0,0,0,27.91617915448919,0.9641305264926449,0.0,zonia,0,False
2025-06-14 18:31:34.383145220+00:00,8,0,0,0,27.79913383260382,0.9662467686114097,0.0,zonia,0,False
2025-06-14 18:35:58.275561220+00:00,8,0,0,0,27.80381397745515,0.9673023641833401,0.0,zonia,0,False
2025-06-14 18:43:31.872133220+00:00,8,0,0,0,27.505658086108358,0.9731685128159162,0.0,zonia,0,False
2025-06-14 18:49:17.282918220+00:00,8,0,0,0,27.10934108290552,0.9753450390241147,0.0,zonia,0,False
2025-06-14 19:16:59.095404220+00:00,8,0,0,0,26.24447427310416,0.9752305619806438,0.0,zonia,0,False
2025-06-14 19:20:28.107488220+00:00,8,0,0,0,26.288625312346316,0.973240852507023,0.0,zonia,0,False
2025-06-14 19:31:54.232650220+00:00,8,0,0,0,25.77392047820732,0.9754749483801384,0.0,zonia,0,False
2025-06-14 19:48:17.697172220+00:00,8,0,0,0,25.554050280624825,0.9738862990449851,0.0,zonia,0,False
2025-06-14 20:05:48.441556220+00:00,8,0,0,0,25.257218041354992,0.9823992362016079,0.0,zonia,0,False
2025-06-14 20:31:18.420401220+00:00,8,0,0,0,24.608242476242022,0.9839092364041347,0.0,zonia,0,False
2025-06-14 20:49:23.651664220+00:00,8,0,0,0,24.310546102353403,0.9810961280930076,0.0,zonia,0,False
2025-06-14 20:56:58.986165220+00:00,8,0,0,0,24.230184742291,0.984729639856347,0.0,zonia,0,False
2025-06-14 21:04:08.984651220+00:00,8,0,0,0,23.740936703460257,0.9862412113340494,0.0,zonia,0,False
2025-06-14 21:22:50.653378220+00:00,8,0,0,0,24.676321747296136,0.96956633204657,0.0,zonia,0,False
2025-06-14 22:23:44.159590220+00:00,8,0,0,0,23.8555767477571,0.973480151001332,0.0,zonia,0,False
2025-06-14 22:57:42.346686220+00:00,8,0,0,0,22.979713832812656,0.9667597776421148,0.0,zonia,0,False
2025-06-14 22:57:53.250064220+00:00,8,0,0,0,22.99413031471623,0.9681971314461888,0.0,zonia,0,False
2025-06-14 23:17:22.477898220+00:00,8,0,0,0,23.310541355314847,0.9684941991213765,0.0,zonia,0,False
2025-06-14 23:49:28.994158220+00:00,8,0,0,0,22.37473753929514,0.9678973130371138,0.0,zonia,0,False
2025-06-15 00:04:39.756860220+00:00,8,0,0,0,22.66944860673026,0.9597776838500326,0.0,zonia,0,False
2025-06-15 00:12:55.631569220+00:00,8,0,0,0,22.95566433225593,0.9591619522246821,0.0,zonia,0,False
2025-06-15 00:19:49.044057220+00:00,8,0,0,0,23.621727107702238,0.9630091103516858,0.0,zonia,0,False
2025-06-15 00:40:49.008347220+00:00,8,0,0,0,22.895133130300422,0.9702856732030916,0.0,zonia,0,False
2025-06-15 00:55:49.341124220+00:00,8,0,0,0,23.006947926124013,0.9730117038106162,0.0,zonia,0,False
2025-06-15 01:45:37.997852220+00:00,8,0,0,0,22.872052206784822,0.9773150592911889,0.0,zonia,0,False
2025-06-15 02:04:14.952113220+00:00,8,0,0,0,21.874992834905246,0.9790354759778609,0.0,zonia,0,False
2025-06-15 02:15:18.821626220+00:00,8,0,0,0,21.8512867964451,0.9798146637685988,0.0,zonia,0,False
2025-06-15 02:32:57.429010220+00:00,8,0,0,0,21.72053019992676,0.9775811686403879,0.0,zonia,0,False
2025-06-15 03:42:37.012662220+00:00,8,0,0,0,21.14367867980306,0.9754855025339002,0.0,zonia,0,False
2025-06-15 03:46:51.879975220+00:00,8,0,0,0,20.945325227358264,0.9741795351167071,0.0,zonia,0,False
2025-06-15 03:55:04.096079220+00:00,8,0,0,0,20.954387755360205,0.9743122418730994,0.0,zonia,0,False
2025-06-15 03:58:37.515471220+00:00,8,0,0,0,20.845652876108662,0.9706193839358931,0.0,zonia,0,False
2025-06-15 04:29:49.790398220+00:00,8,0,0,0,21.83602189418696,0.9792564760073715,0.0,zonia,0,False
2025-06-15 04:34:08.051602220+00:00,8,0,0,0,21.879168136279176,0.9764462018986015,0.0,zonia,0,False
2025-06-15 05:13:03.914800220+00:00,8,0,0,0,24.943719574956397,0.9554416633024514,0.0,zonia,0,False
2025-06-15 05:15:47.026116220+00:00,8,0,0,0,24.159118731156404,0.9574674311099081,0.0,zonia,0,False
2025-06-15 05:25:23.372602220+00:00,8,0,0,0,24.535028624134068,0.9519078658448424,0.0,zonia,0,False
2025-06-15 05:28:09.901999220+00:00,8,0,0,0,24.523084710386055,0.9339187833336243,0.0,zonia,0,False
2025-06-15 05:36:36.418177220+00:00,8,0,0,0,24.48349137466721,0.9349046525274636,0.0,zonia,0,False
2025-06-15 06:04:07.939326220+00:00,8,0,0,0,24.191013093351177,0.9404395319776159,0.0,zonia,0,False
2025-06-15 06:42:00.375985220+00:00,8,0,0,0,27.611113887784455,0.9546771610359848,0.0,zonia,0,False
2025-06-15 07:06:00.459146220+00:00,8,0,0,0,28.802506466105697,0.9447482569928703,0.0,zonia,0,False
2025-06-15 07:36:47.031188220+00:00,8,0,0,0,30.668675818423083,0.9597751589903236,0.0,zonia,0,False
2025-06-15 07:40:28.956080220+00:00,8,0,0,0,30.637227218562366,0.9531290746265755,0.0,zonia,0,False
2025-06-15 07:45:25.664554220+00:00,8,0,0,0,30.55495645743016,0.9508304319990665,0.0,zonia,0,False
2025-06-15 07:49:51.435134220+00:00,8,0,0,0,31.141153789378688,0.9556861850617918,0.0,zonia,0,False
2025-06-15 08:10:25.042398220+00:00,8,0,0,0,31.119306143355036,0.9556891032786787,0.0,zonia,0,False
2025-06-15 08:14:12.396527220+00:00,8,0,0,0,31.72308397623881,0.9601970132875887,0.0,zonia,0,False
2025-06-15 09:01:07.851610220+00:00,8,0,0,0,32.095048378306004,0.9613945221956418,0.0,zonia,0,False
2025-06-15 09:30:03.831481220+00:00,8,0,0,0,33.03784400392827,0.9567210108933408,0.0,zonia,0,False
2025-06-15 09:30:04.906187220+00:00,8,0,0,0,33.02595707349882,0.9592190525968529,0.0,zonia,0,False
2025-06-15 09:30:06.625273220+00:00,8,0,0,0,33.01054641045871,0.9598652771618092,0.0,zonia,0,False
2025-06-15 09:47:40.031800220+00:00,8,0,0,0,33.07993848049278,0.9629603482463355,0.0,zonia,0,False
2025-06-15 09:53:07.939801220+00:00,8,0,0,0,32.969398053227906,0.944573372897048,0.0,zonia,0,False
2025-06-15 10:43:47.874805220+00:00,8,0,0,0,34.07924336377639,0.9458573381587894,0.0,zonia,0,False
2025-06-15 11:06:56.204281220+00:00,8,0,0,0,34.35050658902581,0.9556373605892776,0.0,zonia,0,False
2025-06-15 11:26:33.270405220+00:00,8,0,0,0,35.22536277085702,0.9575687468982859,0.0,zonia,0,False
2025-06-15 12:10:03.417730220+00:00,8,0,0,0,35.28670509773707,0.9460884773909529,0.0,zonia,0,False
2025-06-15 12:45:28.697844220+00:00,8,0,0,0,35.44417546121722,0.9570582781349048,0.0,zonia,0,False
2025-06-15 13:07:42.062065220+00:00,8,0,0,0,36.08643037203509,0.9604200795132266,0.0,zonia,0,False
2025-06-15 13:11:12.937598220+00:00,8,0,0,0,35.72187767205437,0.9633896979859478,0.0,zonia,0,False
2025-06-15 13:20:27.210187220+00:00,8,0,0,0,36.57536246889221,0.9509744023675182,0.0,zonia,0,False
2025-06-15 13:20:28.523389220+00:00,8,0,0,0,35.57342581638306,0.9354709087160675,0.0,zonia,0,False
2025-06-15 14:58:03.311380220+00:00,8,0,0,0,35.37960771448883,0.9234626714876149,0.0,zonia,0,False
2025-06-15 15:07:53.175185220+00:00,8,0,0,0,35.506304953621445,0.910501547204953,0.0,zonia,0,False
2025-06-15 15:14:31.231701220+00:00,8,0,0,0,35.674609321935876,0.9053957443438514,0.0,zonia,0,False
2025-06-15 15:51:51.367432220+00:00,8,0,0,0,33.567810672648534,0.9262244973928473,0.0,zonia,0,False
2025-06-15 16:20:25.266176220+00:00,8,0,0,0,32.195804838822085,0.9508342696846475,0.0,zonia,0,False
2025-06-15 16:38:14.327137220+00:00,8,0,0,0,31.549987318024655,0.96518312872643,0.0,zonia,0,False
2025-06-15 17:12:51.548579220+00:00,8,0,0,0,30.775494034355248,0.9708691592844121,0.0,zonia,0,False
2025-06-15 17:19:17.313914220+00:00,8,0,0,0,30.41706849275959,0.9723545265829958,0.0,zonia,0,False
2025-06-15 17:22:07.137340220+00:00,8,0,0,0,30.245188751479162,0.9714206985000607,0.0,zonia,0,False
2025-06-15 17:23:36.294637220+00:00,8,0,0,0,30.24108334727795,0.9740124827152381,0.0,zonia,0,False
2025-06-15 17:33:29.990590220+00:00,8,0,0,0,29.913371675210936,0.9757588231325703,0.0,zonia,0,False
2025-06-15 17:35:29.565033220+00:00,8,0,0,0,30.03762302235783,0.9773259452183611,0.0,zonia,0,False
2025-06-15 17:57:37.349059220+00:00,8,0,0,0,29.465366105758843,0.9807722695033144,0.0,zonia,0,False
2025-06-15 17:58:10.547555220+00:00,8,0,0,0,29.40452162716064,0.9824947227941864,0.0,zonia,0,False
2025-06-15 18:01:50.060264220+00:00,8,0,0,0,29.30661514709491,0.9841935537934952,0.0,zonia,0,False
2025-06-15 18:21:37.746104220+00:00,8,0,0,0,28.803279624430676,0.98503634669107,0.0,zonia,0,False
2025-06-15 18:41:14.310852220+00:00,8,0,0,0,28.373231658139296,0.9864535441121975,0.0,zonia,0,False
